14.48,10.188,14.728,52.067,5.72,31.55,0.03,0.63,27.58,9.2,51.48,23.8,115.69,2.03,19.53,68.507
13.58,11.754,17.479,51.226,6.45,21.34,0.03,0.65,28.72,18.84,63.02,18.51,112.91,2.03,19.57,67.448
14.6,11.703,17.002,50.58,5.91,19.44,0.01,0.61,23.77,23.04,59.57,17.58,107,1.92,18.98,67.155
13.84,13.353,18.465,52.963,5.24,13.47,0.03,0.68,16.71,37.99,63.73,13.38,99.79,2.23,17.26,69.603
13.99,13.992,20.511,55.201,6.66,11.7,0.05,0.64,17.21,35.4,61.84,14.56,101.12,1.96,16.01,67.26
12.39,19.698,27.272,61.355,7.07,4.39,0.09,0.71,28.82,36.49,80.81,13.14,116.26,2.46,15.47,69.987
10.15,21.44,29.27,64.567,7.51,3.72,0.15,0.86,37.43,31.6,89.16,15.27,130.34,3.1,15.99,72.285
8.71,24.163,34.096,74.554,9.56,1.73,0.24,1.01,51.33,40.92,119.81,8.03,141.57,4.53,15.15,78.845
9.06,23.44,31.765,71.584,12.09,1.89,0.16,0.83,43.6,29.38,96.34,14.95,136.78,3.67,15.24,77.132
9.12,22.007,30.636,73.364,10.28,1.4,0.16,0.83,42.37,27.35,92.41,15.77,135.11,3.68,15.25,77.127
9.28,20.076,28.112,66.083,12.66,1.41,0.14,0.74,38.42,26.64,85.64,17.33,132.43,3.4,15.4,74.779
8.08,25.993,34.672,70.281,14.97,2.09,0.11,0.69,34.09,24.16,76.58,18.86,127.4,3.89,15.37,74.028
9.5,24.714,31.202,71.976,12.36,8.5,0.08,0.62,27.29,18.19,60.08,22.08,119.65,2.43,15.29,73.192
10.35,17.226,23.549,47.224,6.68,8.98,0.08,0.69,9.74,39.83,54.72,10.89,84.21,2.92,14.39,77.871
10.1,18.552,25.805,55.38,6.9,9.83,0.17,0.85,32.37,43.25,92.93,6.25,109.72,2.65,15.11,76.873
10.05,16.246,24.469,60.04,6.64,15.91,0.11,0.8,29.93,27.98,74.02,15.95,117.02,2.83,15.41,72.964
10.47,18.364,24.725,65.221,650.17,28.68,0.29,0.63,17.7,21.46,48.58,32.33,135.82,2.55,16.07,71.479
6.13,21.889,30.9,76.36,4.45,37.74,3.48,11.86,7.29,46.98,58.18,17.98,106.69,2.72,15.29,82.315
4.74,27.994,37.421,90.04,4.48,5.61,0.13,0.77,9.61,79.56,94.37,14.68,134.09,4.35,14.55,87.727
6.11,25.558,33.617,79.496,5.39,10,0.08,0.75,8.11,63.65,76.16,14.55,115.39,2.63,14.51,87.236
